Name,Category,Region,County,Facility,Availability,Facility.URL,Golf.URL,Nature.Center.URL,Longitude,Latitude,Location
Verona Beach,State Park,5,Oneida,Camp,Available,http://nysparks.com/parks/102/details.aspx,,,-75.71658659,43.17800825,"(43.17800824900, -75.71658658600)"
Clarence Fahnestock,State Park,7,Putnam,Camp,Available,http://nysparks.com/parks/133/details.aspx,,http://www.nysparks.com/environment/nature-centers/3/details.aspx,-73.84764739,41.45275633,"(41.45275633070, -73.84764739280)"
Clermont,State Historic Site,7,Col/Dutch,Camp,Not Available,http://nysparks.com/historic-sites/16/details.aspx,,,-73.91104016,42.08330974,"(42.08330973870, -73.91104015700)"
Clinton House,State Historic Site,7,Dutchess,Camp,Not Available,http://nysparks.com/historic-sites/1/details.aspx,,,-73.91624471,41.70036495,"(41.70036495400, -73.91624471230)"
Donald J. Trump,State Park,7,Putnam/Westchester,Camp,Not Available,,,,-73.80837178,41.34539868,"(41.34539867750, -73.80837178360)"
Donald J. Trump,State Park,7,Putnam/Westchester,Camp,Not Available,,,,-73.80405211,41.26263355,"(41.26263355270, -73.80405211470)"
Franklin Delano Roosevelt,State Park,7,Westchester,Camp,Not Available,http://nysparks.com/parks/148/details.aspx,,,-73.80875691,41.28230417,"(41.28230417020, -73.80875690520)"
Hart's Brook Nature Preserve & Arboretum,Other,7,Westchester,Camp,Not Available,,,,-73.80806017,41.01796144,"(41.01796144330, -73.80806016760)"
Hudson Highlands,State Park Preserve,7,Dutch/Put,Camp,Not Available,http://nysparks.com/parks/9/details.aspx,,,-73.96211032,41.43375567,"(41.43375567300, -73.96211032090)"
James Baird,State Park,7,Dutchess,Camp,Not Available,http://nysparks.com/parks/101/details.aspx,http://nysparks.com/golf-courses/1/details.aspx,,-73.79543181,41.6880051,"(41.68800509510, -73.79543181340)"
John Jay Homestead,State Historic Site,7,Westchester,Camp,Not Available,http://nysparks.com/historic-sites/4/details.aspx,,,-73.65880641,41.25034096,"(41.25034095730, -73.65880640870)"
Lake Taghkanic,State Park,7,Columbia,Camp,Available,http://nysparks.com/parks/38/details.aspx,,,-73.70588782,42.09288182,"(42.09288181800, -73.70588781880)"
Margaret Lewis Norrie,State Park,7,Dutchess,Camp,Available,http://nysparks.com/parks/171/details.aspx,,,-73.93895514,41.84153655,"(41.84153654810, -73.93895513720)"
Ogden & Ruth Livingston Mills,State Park,7,Dutchess,Camp,Not Available,http://nysparks.com/parks/33/details.aspx,http://nysparks.com/golf-courses/21/details.aspx,,-73.93480595,41.8530054,"(41.85300539520, -73.93480595460)"
Olana,State Historic Site,7,Columbia,Camp,Not Available,http://nysparks.com/historic-sites/23/details.aspx,,,-73.82875957,42.21459514,"(42.21459513810, -73.82875956580)"
Old Croton Aqueduct,State Historic Park,7,Westchester,Camp,Not Available,http://nysparks.com/parks/96/details.aspx,,,-73.86317128,41.16566387,"(41.16566387170, -73.86317128260)"
Peter Jay,Other,7,Westchester,Camp,Not Available,http://nysparks.com/historic-sites/39/details.aspx,,,-73.70587755,40.95694601,"(40.95694601390, -73.70587754860)"
Philipse Manor Hall,State Historic Site,7,Westchester,Camp,Not Available,http://nysparks.com/historic-sites/37/details.aspx,,,-73.89931286,40.93555005,"(40.93555005170, -73.89931286140)"
Quiet Cove Riverfront Park,Other,7,Dutchess,Camp,Not Available,,,,-73.93449945,41.73322539,"(41.73322538680, -73.93449945000)"
Rockefeller Park Preserve,State Park,7,Westchester,Camp,Not Available,http://nysparks.com/parks/59/details.aspx,,,-73.83253999,41.10969309,"(41.10969308530, -73.83253998950)"
Staatsburgh,State Historic Site,7,Dutchess,Camp,Not Available,http://nysparks.com/historic-sites/25/details.aspx,,,-73.9299489,41.85662754,"(41.85662753880, -73.92994890210)"
Taconic,State Park,7,Dutchess,Camp,Not Available,http://nysparks.com/parks/83/details.aspx,,,-73.51743928,42.07786386,"(42.07786385560, -73.51743928060)"
Taxter Ridge,Other,7,Westchester,Camp,Not Available,,,,-73.83877677,41.05511939,"(41.05511939330, -73.83877677420)"
Walkway over the Hudson,State Historic Park,7,Dutchess,Camp,Not Available,http://nysparks.com/parks/178/details.aspx,,,-73.94495089,41.710587,"(41.71058700040, -73.94495088990)"
Wonder Lake,State Park,7,Putnam,Camp,Not Available,,,,-73.64658631,41.49190316,"(41.49190316110, -73.64658631490)"
Bear Mountain,State Park,8,Rockland/Orange,Camp,Not Available,http://nysparks.com/parks/145/details.aspx,,,-73.99240161,41.29900423,"(41.29900423010, -73.99240161230)"
Blauvelt,State Park,8,Rockland,Camp,Not Available,http://nysparks.com/parks/49/details.aspx,,,-73.93737308,41.07424137,"(41.07424136900, -73.93737308340)"
Bristol Beach,State Park,8,Rockland,Camp,Not Available,,,,-73.93253108,42.10837178,"(42.10837178330, -73.93253107910)"
Fort Montgomery,State Historic Site,8,Orange,Camp,Not Available,http://nysparks.com/historic-sites/28/details.aspx,,,-73.98957246,41.3243022,"(41.32430220480, -73.98957245690)"
Franny Reese Preserve,State Park,8,Ulster,Camp,Not Available,,,,-73.95596437,41.70146445,"(41.70146444660, -73.95596437460)"
Goosepond Mountain,State Park,8,Orange,Camp,Not Available,http://nysparks.com/parks/55/details.aspx,,,-74.24664764,41.33752483,"(41.33752482690, -74.24664764090)"
Harriman,State Park,8,Rock/Orange,Camp,Available,http://nysparks.com/parks/145/details.aspx,,,-74.10169996,41.23733048,"(41.23733048350, -74.10169996430)"
Haverstraw Beach,State Park,8,Rockland,Camp,Not Available,,,,-73.94317048,41.17799181,"(41.17799181180, -73.94317047610)"
High Tor,State Park,8,Rockland,Camp,Not Available,http://nysparks.com/parks/78/details.aspx,,,-73.98401299,41.19061787,"(41.19061787350, -73.98401298960)"
Highland Lakes,State Park,8,Orange,Camp,Not Available,http://nysparks.com/parks/5/details.aspx,,,-74.32857545,41.49130058,"(41.49130057890, -74.32857544760)"
Hook Mountain,State Park,8,Rockland,Camp,Not Available,,,,-73.91588172,41.1517064,"(41.15170640470, -73.91588171800)"
